username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DarlingtonMicah;2019-03-09 16:06;0;0;"Back to square one: Satellite pictures reveal that North Korea has begun the 'rapid rebuilding' of their long-range nuclear missile site just DAYS after the collapse of Trump's Vietnam summit with Kim Jong-un pic.twitter.com/qpyFOcytTT";;;;"1104413143420289024";https://twitter.com/DarlingtonMicah/status/1104413143420289024
Donna71986804;2019-03-09 16:06;0;0;"PRESIDENT Trump gave them the path!";;;;"1104413079952130048";https://twitter.com/Donna71986804/status/1104413079952130048
HinckJon;2019-03-09 16:05;0;0;"Trump has only fallen short in his diplomacy with Kim Jong-un because he has yet to invite the Chairman and Supreme Leader to Mar-a-Lago.";;;;"1104413002231672834";https://twitter.com/HinckJon/status/1104413002231672834
JanetWa94118686;2019-03-09 16:04;0;0;"Beltway Insider: Trump/Kim Jong Un Overshadowed, Otto Warmbier, Cohen/Trump, Brexit Implosion, Netanyahu, 2020 http://www.haute-lifestyle.com/168-haute-this-issue/3908-beltway-insider-trump-kim-jong-un-overshadowed-otto-warmbier-cohen-trump-brexit-implosion-netanyahu-2020.html#.XIPkHjb5nTU.twitter …";;;#;"1104412737675780097";https://twitter.com/JanetWa94118686/status/1104412737675780097
OHCATruth;2019-03-09 16:04;0;0;"Extend the faux reasoning, she is also a jihadist, a murderer, a rapist, an abortion doctor, kim jong-un, Brett Kavanaugh, Donald Trump,.....";;;;"1104412594603991040";https://twitter.com/OHCATruth/status/1104412594603991040
joylynbest;2019-03-09 16:02;0;1;"Trump is kissing up to Kim and the M.E. to get a Nobel Peace prize. Jealous of Obama. pic.twitter.com/Cdch2AsHaE";;;;"1104412273098063872";https://twitter.com/joylynbest/status/1104412273098063872
KarnlikBilgiler;2019-03-09 16:00;0;1;"Trump , Merkel , Putin ve Kim Young-un küçüklük fotoğrafları. pic.twitter.com/z9tjcbSqoR";;;;"1104411616488185858";https://twitter.com/KarnlikBilgiler/status/1104411616488185858
NewmannMichael;2019-03-09 15:58;0;1;"Agreed. Cause China will never cease to support the Kim dynasty. & tRump made matters worse for abruptly ending the meeting with Kim. As for a military solution, that's the only solution for peace. They haven't mastered the tech know how to miniaturize a nuke's warhead.";;;;"1104411184432906240";https://twitter.com/NewmannMichael/status/1104411184432906240
canaltn8;2019-03-09 15:56;0;0;"#Mundo | El periódico estatal norcoreano Rodong Sinmun ha reconocido el fracaso "inesperado" de la segunda cumbre entre Donald Trump, y líder norcoreano, Kim Jong-un. http://goo.gl/PXtBXX";;;#Mundo;"1104410677463171073";https://twitter.com/canaltn8/status/1104410677463171073
GiulioTerzi;2019-03-09 15:56;0;0;"#NordCorea starebbe preparando nuovo test missilistico dopo fallimento Vertice #Trump #Kim ad Hanoi @GlobalCRLpic.twitter.com/l73bxj3pxh";;@GlobalCRLpic;#NordCorea #Trump #Kim;"1104410591442157568";https://twitter.com/GiulioTerzi/status/1104410591442157568
FantomSolace;2019-03-09 15:55;0;0;"It’s a fictional work of men, not any different from any other book. I would not discard one signed by Trump. I’d sell it to one of his dimwits and donate the proceeds to Democrats.";;;;"1104410424273854466";https://twitter.com/FantomSolace/status/1104410424273854466
amasando;2019-03-09 15:52;0;0;"Trump was flattered by Kim love letters and thought he could win the dictators trust; he was dead wrong. Kim is no ordinary leader, he cares bout his security than sanctions. North Korea 'preparing rocket launch', images suggest https://www.bbc.com/news/world-asia-47504723 …";;;;"1104409713998028800";https://twitter.com/amasando/status/1104409713998028800
DanteHarriso;2019-03-09 15:51;0;0;"All this is an ATTEMPT to DISTRACT FROM THE HUMILIATION KIM JUNG UN made of TRUMP. You showed up in VIETNAM inserting youself in USA politics for ratings. I did hear NOBEL PEACE PRIZE, is that still on?";;;;"1104409289018335237";https://twitter.com/DanteHarriso/status/1104409289018335237
JanetWa94118686;2019-03-09 15:50;0;0;"Beltway Insider: Trump/Kim Jong Un Overshadowed, Otto Warmbier, Cohen/Trump, Brexit Implosion, Netanyahu, 2020 http://www.haute-lifestyle.com/168-haute-this-issue/3908-beltway-insider-trump-kim-jong-un-overshadowed-otto-warmbier-cohen-trump-brexit-implosion-netanyahu-2020.html#.XIPgvxzRT-Q.twitter …";;;#;"1104409118020759554";https://twitter.com/JanetWa94118686/status/1104409118020759554
rosati22;2019-03-09 15:49;0;0;"Corea del Nord, media Usa: “Kim prepara lancio di missili”. Trump: “Sarei deluso” - Il Fatto Quotidiano https://www.ilfattoquotidiano.it/2019/03/09/corea-del-nord-media-usa-kim-prepara-lancio-di-missili-trump-sarei-deluso/5025212/ … di @GoogleNews";;@GoogleNews;;"1104408791100153858";https://twitter.com/rosati22/status/1104408791100153858
Impartial311;2019-03-09 15:49;0;0;"Randy Rainbow Sings Songs Of Trump/Kim Love! | Crooks and Liars https://crooksandliars.com/2019/03/randy-rainbow-sings-songs-trumpkim-love …";;;;"1104408777464389633";https://twitter.com/Impartial311/status/1104408777464389633
PatBenzaleski;2019-03-09 15:48;0;1;"Randy Rainbow Sings Songs Of Trump/Kim Love! | Crooks and Liars https://crooksandliars.com/2019/03/randy-rainbow-sings-songs-trumpkim-love …";;;;"1104408677220528130";https://twitter.com/PatBenzaleski/status/1104408677220528130
ForeignAffairs;2019-03-09 15:44;7;17;"“Ultimately, Trump could neither charm nor bully Kim in Hanoi, and his promises of a vibrant future for North Korea as an ‘economic rocket’ fell flat.” https://trib.al/0ieIe06";;;;"1104407650077417474";https://twitter.com/ForeignAffairs/status/1104407650077417474
KarenSt63236387;2019-03-09 15:44;0;0;"Apparently @realDonaldTrump love affair with Kim and NK is a bust! Now NK is rebuilding ability to launch missiles. Trump has cancelled our joint military exercises, putting our Military and us in extreme danger! SO MUCH WINNING!!!! NOT!";;@realDonaldTrump;;"1104407617273823234";https://twitter.com/KarenSt63236387/status/1104407617273823234
Shannon34697124;2019-03-09 15:42;0;0;"President Trump really cares for people. President Trump is the one that got me to register to vote n one day, I would LOVE to meet him n First Lady Melania Trump. The whole Trump family cares like no other. God Bless you Ms. Kim Guilfoyle n all the Trump family";;;;"1104407220123561984";https://twitter.com/Shannon34697124/status/1104407220123561984
CapitalPrivate1;2019-03-09 15:42;0;2;"@paranoidbull The charade Markets recuperates has the Chinese leaders cancel all meetings. Chinese officials, spooked by the last-minute failure of Trump’s summit with North Korean leader Kim, are wary of a summit before a trade deal is done. https://www.wsj.com/articles/u-s-china-trade-deal-isnt-imminent-ambassador-branstad-says-11552031163 … via @WSJ";;@paranoidbull @WSJ;;"1104407169838039041";https://twitter.com/CapitalPrivate1/status/1104407169838039041
jdewittaddison;2019-03-09 15:41;0;0;"The Great American Disconnect-Political Comments: Read Trump's Letter to Kim Jong Un cancelling thei... …https://thegreatamericandisconnect.blogspot.com/2018/05/read-trumps-letter-to-kim-jong-un.html?spref=tw …";;;;"1104406787418021888";https://twitter.com/jdewittaddison/status/1104406787418021888
pcurry57;2019-03-09 15:41;0;0;"First up, he should have never given Kim validation by meeting with him. Trump was played by the punk dictator. https://www.nbcnews.com/news/world/beijing-worried-trump-may-walk-away-table-he-did-north-n981301 …";;;;"1104406786994511872";https://twitter.com/pcurry57/status/1104406786994511872
mqualizza;2019-03-09 15:39;0;0;"Activity at a SECOND North Korean missile site could mean the country is preparing for a potential launch following failed talks between Trump and Kim Jong-Un site https://mol.im/a/6788859 via @MailOnline";;@MailOnline;;"1104406375822577666";https://twitter.com/mqualizza/status/1104406375822577666
HustleGrace;2019-03-09 15:39;0;0;"It's definitely a wake up call about who is in charge of America when that person believes Kim Jong-un and Vladimir Putin, whom are both dictators, narcissist and vile. They are like the 3 musketeers. The only difference is Trump is the slow one.";;;;"1104406292167380992";https://twitter.com/HustleGrace/status/1104406292167380992
JacobRo24004780;2019-03-09 15:38;0;0;"And McDonald Trump is best friends with Putin, has been on 2 dates with Kim Jong Un and only marries immigrants. Someone's story has major plot holes.";;;;"1104406098772135936";https://twitter.com/JacobRo24004780/status/1104406098772135936
CiovaccoCapital;2019-03-09 15:37;3;4;"From @WSJ: "Chinese officials, spooked by the last-minute failure of Trump’s summit with North Korean leader Kim, are wary of a summit before a trade deal is done." https://www.wsj.com/articles/u-s-china-trade-deal-isnt-imminent-ambassador-branstad-says-11552031163 … via @WSJ";;@WSJ @WSJ;;"1104405960305639424";https://twitter.com/CiovaccoCapital/status/1104405960305639424
Frankie11495;2019-03-09 15:37;0;0;"If that was good logic, I guess Trump, Castro, Putin, Kim Jung Un are all doing something right... LOL";;;;"1104405885764493317";https://twitter.com/Frankie11495/status/1104405885764493317
destak;2019-03-09 15:37;0;2;"Imagens foram tiradas antes do encontro de Trump e Kim Jong-un no final de fevereiro http://www.destakjornal.com.br/mundo/detalhe/coreia-do-norte-prepara-disparo-de-missil-ou-foguete-diz-radio-americana …";;;;"1104405791996628993";https://twitter.com/destak/status/1104405791996628993
tatliamayapay;2019-03-09 15:36;0;0;"Biriyle sevişmen gerekiyor. Donald Trump ya da Kim Jong Un? Hangisi? — Çok zor soru https://curiouscat.me/aldarathekween/post/807940014?t=1552145799 …";;;;"1104405647448330240";https://twitter.com/tatliamayapay/status/1104405647448330240
candy735;2019-03-09 15:35;0;1;"Russia and China, who control Kim and North Korea, and keep him in power, are using this situation for their own ends with Trump, who is being badly played and outmaneuvered by all three bad actors.";;;;"1104405415025147904";https://twitter.com/candy735/status/1104405415025147904
Margo60274100;2019-03-09 15:35;0;0;"We will never get rid of the Trumps. We will end up like like the socialist country in Venezuela. Trump thinks he is Kim Jong Hu. of the USA. He will have to carry him out of the White House screaming. Trump Jr. will follow him. What a mess.";;;;"1104405283332374532";https://twitter.com/Margo60274100/status/1104405283332374532
DorothyYonker;2019-03-09 15:35;0;0;"IMO, they plotted to change the date for the hearing so it would be same day as NOKO Summit so Kim Jong UN would hear Cohen say "Trump is a con man". I could tell by Un's behavior he didn't trust Trump as he once did. I hope they can nail Schiff & Cummings for plotting. https://twitter.com/robertdunlap947/status/1104324654578188289 …";;;;"1104405253066244096";https://twitter.com/DorothyYonker/status/1104405253066244096
LexiBubby;2019-03-09 15:34;1;1;"This signer, his worshiper, and the owners of the bibles signed by Trump are going to hell by their own choosing....1st Commandment....";;;;"1104405209130897408";https://twitter.com/LexiBubby/status/1104405209130897408
AuthorJackBloom;2019-03-09 15:34;0;1;"Trump laid hands on bible proved he was a liar.";;;;"1104405051089416193";https://twitter.com/AuthorJackBloom/status/1104405051089416193
BobFoolery;2019-03-09 15:33;0;0;"Seems like if N. Korea is suddenly about to launch a rocket then this entire Trump/Kim diplomacy game was a farce and delay tactic by N. Korea, and precisely demonstrates the level of mistrust that prevented others from pursuing Trump's "Let's be friends" tact.";;;;"1104404935943192576";https://twitter.com/BobFoolery/status/1104404935943192576
OpinionatedEYE;2019-03-09 15:33;0;0;"Immediately following the signing of their Holy Bibles by Donald Trump, Alabama Evangelicals try to cash in by selling them on eBay. #TrumpBible";;;#TrumpBible;"1104404899104780288";https://twitter.com/OpinionatedEYE/status/1104404899104780288
BonnieBaehr;2019-03-09 15:33;0;1;"ADÁMICA-CHAMAN sobre KIM-TRUMP---what is wrong with KIM is wrong w/TRUMP.----why should one stop NUCLEARS if the other one does not? why are we so used to this nonsensical, we continue w/same shit. just get to DISMANTLE THE WHOLE THING===NO MORE NUCLEARS!!!";;;;"1104404765398745088";https://twitter.com/BonnieBaehr/status/1104404765398745088
TurkishTradinG;2019-03-09 15:32;0;1;"2020 secimlerini cumhuriyetlerin ve trump un kazanmasi icin piyasalarin cosmasi gerek bunun icinde anlasma gerek zamana yayilir ama eninde sonunda anlasmaya varirlar artik kim geri adim atar kim daha cok anlasmaya muhtacsa";;;;"1104404642283356160";https://twitter.com/TurkishTradinG/status/1104404642283356160
GarrisonPhyll53;2019-03-09 15:32;0;0;"Who cares what the media says, everyone threw daggers at Obama, but he didn't name call tweet every minute! Just do what you were voted in to do, you say past presidents didn't want to do a deal with NK, now you see why, you lost respect saying that "I love Kim Jong Un!" Really!";;;;"1104404568111267840";https://twitter.com/GarrisonPhyll53/status/1104404568111267840
