"Rank","Country","Forexres","Date","Change","newdate"
"104","Mongolia","3,986","September 2019[62]","","September 2019"
"105","Panama","3,888","31 December 2017[29]","","31 December 2017"
"106","Albania","3,724","October 2019[62]","","October 2019"
"107","Jamaica","3,605","March 2019[62]","","March 2019"
"108","North Macedonia","3,420","September 2019[62]","","September 2019"
"109","Bahrain","3,415","29 February 2020[citation needed]","","29 February 2020"
"110","Brunei","3,407","2018[60]","","2018"
"111","Georgia","3,387","October 2019[62]","","October 2019"
"112","Ethiopia","3,147","31 December 2017[29]","","31 December 2017"
"113","Uganda","3,045","31 December 2017[29]","","31 December 2017"
"114","Moldova","2,942","September 2019[62]","","September 2019"
"115","Armenia","2,840","December 2019[73]","","December 2019"
"116","Zambia","2,426","31 December 2017[29]","","31 December 2017"
"117","Cameroon","2,357","31 December 2017[29]","","31 December 2017"
"118","Kyrgyzstan","2,203","September 2019[62]","","September 2019"
"119","Nicaragua","2,201","August 2019[62]","","August 2019"
"120","Mozambique","2,193","31 December 2017[29]","","31 December 2017"
"121","Haiti","2,044","31 December 2017[29]","","31 December 2017"
"122","Namibia","1,949","31 December 2017[29]","","31 December 2017"
"123","Papua New Guinea","1,800","31 December 2017[29]","","31 December 2017"
"124","Madagascar","1,740","2018[60]","","2018"
"125","Bahamas","1,414","2017[60]","","2017"
"126","Estonia","1,352","October 2019[62]","","October 2019"
"127","Tajikistan","1,284","2018[60]","","2018"
"128","Montenegro","1,261","2018[60]","","2018"
"129","Guinea","1,225","2018[60]","","2018"
"130","Luxembourg","1,070","October 2019[62]","","October 2019"
"131","Curaçao","1,055","31 October 2019[74][o]","","31 October 2019"
"132","Niger","1,039","2015[60][failed verification]","","2015"
"133","Cyprus","1,034","October 2019[62]","","October 2019"
"134","Rwanda","1,026","31 December 2017[29]","","31 December 2017"
"135","Slovenia","1,022","October 2019[62]","","October 2019"
"136","Laos","990","31 December 2017[29]","","31 December 2017"
"137","Aruba","980","2018[60]","","2018"
"138","Bhutan","987","2018[60]","","2018"
"139","Lesotho","983","31 December 2017[29]","","31 December 2017"
"140","Fiji","967","31 December 2017[29]","","31 December 2017"
"141","Mauritania","934","2018[60]","","2018"
"142","Malta","890","October 2019[62]","","October 2019"
"143","Kosovo","881","2018[60]","","2018"
"144","Gabon","835","31 December 2017[29]","","31 December 2017"
"145","Republic of the Congo","813","31 December 2017[29]","","31 December 2017"
"146","Malawi","760","2018[60]","","2018"
"147","Maldives","722","2018[60]","","2018"
"148","Timor-Leste","674","2018[60]","","2018"
"149","Palestine","632","August 2019[62][p]","","August 2019"
"150","Mali","624","2015[60][failed verification]","","2015"
"151","Solomon Islands","617","2018[60]","","2018"
"152","Cape Verde","606","2018[60]","","2018"
"153","Seychelles","535","September 2019[62]","","September 2019"
"154","Guyana","518","2018[60]","","2018"
"155","Sierra Leone","503","2018[60]","","2018"
"156","Suriname","581","2018[60]","","2018"
"157","Liberia","475","2017[60]","","2017"
"158","Djibouti","454","2018[60]","","2018"
"159","Democratic Republic of the Congo","445","31 December 2017[29]","","31 December 2017"
"160","Eswatini","441","2018[60]","","2018"
"161","Vanuatu","421","2018[60]","","2018"
"162","Equatorial Guinea","416","31 December 2017[29]","","31 December 2017"
"163","Syria","407","31 December 2017[29]","","31 December 2017"
"164","Antigua and Barbuda","389","2018[60]","","2018"
"165","Saint Kitts and Nevis","363","2018[60]","","2018"
"166","Central African Republic","362","2018[60]","","2018"
"167","San Marino","339","2018[60]","","2018"
"168","Guinea-Bissau","332","2015[60][failed verification]","","2015"
"169","Belize","294","2018[60]","","2018"
"170","Saint Lucia","286","2018[60]","","2018"
"171","Tonga","277","2018[60]","","2018"
"172","Eritrea","237","31 December 2017[29]","","31 December 2017"
"173","Grenada","234","2018[60]","","2018"
"174","Togo","215","31 December 2017[29]","","31 December 2017"
"175","Barbados","205","31 December 2017[29]","","31 December 2017"
"176","Yemen","245","31 December 2017[29]","","31 December 2017"
"177","Sudan","178","2017[60]","","2017"
"178","Federated States of Micronesia","204","2017[60]","","2017"
"179","Comoros","199","2018[60]","","2018"
"180","Gambia","192","2018[60]","","2018"
"181","Dominica","191","2018[60]","","2018"
"182","Samoa","170","2018[60]","","2018"
"183","Saint Vincent and the Grenadines","170","2018[60]","","2018"
"184","Senegal","152","31 December 2017[29]","","31 December 2017"
"185","Chad","148","2018[60]","","2018"
"186","Zimbabwe","87","2018[60]","","2018"
"187","South Sudan","68","2016[60]","","2016"
"188","Burundi","68","2018[60]","","2018"
"189","Benin","60","31 December 2017[29]","","31 December 2017"
"190","Montserrat","49","31 December 2017[29]","","31 December 2017"
"191","Burkina Faso","45","31 December 2017[29]","","31 December 2017"
"192","São Tomé and Príncipe","47","2018[60]","","2018"
"193","Somalia","32","30 December 2017[29]","","30 December 2017"
"194","Kiribati","7","31 December 2017[29]","","31 December 2017"
